FileName,Success,Sheets,Entries,Error
0_asses.masses_Manager+Intermissions+E0Proxy,true,9,249,""
10_asses.masses_E10Proxy,true,11,660,""
11_asses.masses_NonCSVBasedTranslations,true,11,76,""
1_asses.masses_E1Proxy,true,12,416,""
2_asses.masses_E2Proxy,true,15,398,""
3_asses.masses_E3Proxy,true,10,380,""
4_asses.masses_E4Proxy,true,9,435,""
5_asses.masses_E5Proxy,true,7,592,""
6_asses.masses_E6Proxy,true,8,535,""
7_asses.masses_E7Proxy,true,17,363,""
8_asses.masses_E8Proxy,true,3,96,""
9_asses.masses_E9Proxy,true,5,292,""
READ_ME_Localization,true,14,512,""
Translation Checklist,true,7,39,""
